Place,2020,2021
1,Dosqaly,Sobianitedrucy
2,Nganion,People's Land of Maneau
3,Sobianitedrucy,Nganion
4,Southern Ristan,Mico
5,Greri Landmoslands,Quewenia
6,Byasier Pujan,Southern Ristan
7,Mico,Galamily
8,People's Land of Maneau,Bernepamar
9,Esia,Dosqaly
10,Nkasland Cronestan,Giumle Lizeibon
11,Quewenia,Greri Landmoslands
12,Manlisgamncent,Xikong
13,Xikong,Manlisgamncent
14,Bernepamar,Esia
15,Unicorporated Tiagascar,Byasier Pujan
16,Cuandbo,Djipines
17,,Leoneku Guidisia
18,,Ledian
19,,Eastern Sleboube
20,,New Uwi
21,,Ngoque Blicri
22,,Nkasland Cronestan
23,,Eastern Niasland
24,,Varijitri Isles
